id,value,object
Negative,1928,274461
Negative,1928,274462
Negative,1928,274463
Negative,1928,274465
Negative,1928,274466
Negative,1928,274467
Negative,1928,274627
Negative,1928,275425
Negative,1928,277483
Photograph,1929,259982
Photograph,1929,259993
Photograph,1929,259994
Photograph,1929,263038
Photograph,1929,265554
Photograph,1929,265557
Photograph,1929,265595
Photograph,1929,266043
Photograph,1929,272001
Photobooth strip,1929,272005
Photobooth strip,1929,272006
Photobooth strip,1929,272007
Photobooth strip,1929,272008
Photobooth strip,1929,272009
Photograph/ Photobooth strip,1929,272010
Photograph/ Photobooth strip,1929,272011
Photograph,1929,272019
Negative,1929,272254
Negative,1929,272255
Negative,1929,272309
Negative,1929,272310
Negative,1929,272312
Negative,1929,272313
Negative,1929,272314
Negative,1929,272316
Negative,1929,272317
Negative,1929,272318
Negative,1929,272428
Negative,1929,272429
Negative,1929,272430
Negative,1929,272431
Negative,1929,272432
Negative,1929,272434
Negative,1929,272440
Negative,1929,272441
Negative,1929,272442
Negative,1929,272466
Negative,1929,272468
Negative,1929,272469
Negative,1929,272470
Negative,1929,272513
Negative,1929,272514
Negative,1929,272515
Negative,1929,272516
Negative,1929,272517
Negative,1929,272518
Negative,1929,272519
Negative,1929,272536
Negative,1929,272537
Negative,1929,272538
Negative,1929,272543
Negative,1929,272545
Negative,1929,272546
Negative,1929,272547
Negative,1929,272548
Negative,1929,272549
Negative,1929,272550
Negative,1929,272588
Negative,1929,272700
Negative,1929,272733
Negative,1929,273022
Negative,1929,273068
Negative,1929,273069
Negative,1929,273070
Negative,1929,273071
Negative,1929,273072
Negative,1929,273073
Negative,1929,273074
Negative,1929,273075
Negative,1929,273076
Negative,1929,273077
Negative,1929,273078
Negative,1929,273079
Negative,1929,273080
Negative,1929,273081
Negative,1929,273082
Negative,1929,273083
Negative,1929,273084
Negative,1929,273085
Negative,1929,273087
Negative,1929,273088
Negative,1929,273089
Negative,1929,273090
Negative,1929,273091
Negative,1929,274430
Negative,1929,274451
Negative,1929,274481
Negative,1929,274482
Negative,1929,274558
Negative,1929,274569
Negative,1929,274602
Negative,1929,274725
Negative,1929,274727
Negative,1929,274728
Negative,1929,274732
Negative,1929,276784
Negative,1929,276810
Negative,1929,276856
Negative,1929,276923
Photograph,1929,282417
Photograph,1929,282799
Photograph/ Photobooth strip,1929,282807
Photograph,1929,282848
Photograph,1929,282849
Photograph,1929,282853
Photograph,1929,282854
Photograph,1929,282855
Ephemera,1929,283739
Photograph,1929,284438
Negative,1929,285495
Negative,1929,285496
Negative,1929,285498
Negative,1929,285499
Negative,1929,285500
Negative,1929,285501
Negative,1929,285503
Negative,1929,285504
Negative,1929,285505
Negative,1929,285563
Negative,1929,285584
Negative,1929,285601
Photograph,1929,286580
Photograph,1929,286603
Photograph,1929,289060
Negative,1929,272520
Photograph,1929,260634
Photograph,1929,260645
Photograph,1929,260655
Photograph,1929,260665
Photograph,1929,260672
Photograph,1929,271969
Negative,1929,272394
Negative,1929,272398
Negative,1929,272399
Negative,1929,272402
Negative,1929,272403
Negative,1929,272406
Negative,1929,272407
Negative,1929,272408
Negative,1929,272409
Negative,1929,272410
Negative,1929,272454
Negative,1929,272457
Negative,1929,272472
Negative,1929,272473
Negative,1929,272474
Negative,1929,272475
Negative,1929,272561
Negative,1929,272562
Negative,1929,272641
Negative,1929,272683
Negative,1929,273092
Negative,1929,273093
Negative,1929,273094
Negative,1929,273095
Negative,1929,273096
Negative,1929,273098
Negative,1929,273161
Negative,1929,273162
Negative,1929,273164
Negative,1929,273165
Negative,1929,273166
Negative,1929,273167
Negative,1929,273168
Negative,1929,273169
Negative,1929,273170
Negative,1929,273171
Negative,1929,273172
Negative,1929,273173
Negative,1929,273175
Negative,1929,273176
Negative,1929,273177
Negative,1929,273178
Negative,1929,273179
Negative,1929,273180
Negative,1929,273181
Negative,1929,273182
Negative,1929,273183
Negative,1929,273184
Negative,1929,273186
Negative,1929,273187
Negative,1929,273188
Negative,1929,273189
Negative,1929,273190
Negative,1929,273191
Negative,1929,273192
Negative,1929,273193
Negative,1929,273194
Negative,1929,273195
Negative,1929,273197
Negative,1929,273198
Negative,1929,273199
Negative,1929,273200
Negative,1929,273201
Negative,1929,273202
Negative,1929,273203
Negative,1929,273204
Negative,1929,273205
Negative,1929,273206
Negative,1929,273208
Negative,1929,273209
Negative,1929,273210
Negative,1929,273954
Negative,1929,273955
Negative,1929,273956
Negative,1929,273957
Negative,1929,273959
Negative,1929,273960
Negative,1929,274413
Negative,1929,274414
Negative,1929,274418
Negative,1929,274425
Negative,1929,274427
Negative,1929,274436
Negative,1929,274447
Negative,1929,274458
Negative,1929,274464
Negative,1929,274468
Negative,1929,274469
Negative,1929,274480
Negative,1929,274483
Negative,1929,274524
Negative,1929,274536
Negative,1929,274635
Negative,1929,274674
Negative,1929,274685
Negative,1929,274687
Negative,1929,274696
Negative,1929,274702
Negative,1929,274703
Negative,1929,274712
Negative,1929,274713
Negative,1929,274718
Negative,1929,274721
Negative,1929,274722
Negative,1929,274729
Negative,1929,274734
Glass negative,1929,274826
Glass negative,1929,274859
Negative,1929,275430
Negative,1929,275431
Negative,1929,276834
Negative,1929,276878
Negative,1929,276901
Negative,1929,276945
Negative,1929,276968
Negative,1929,276990
Negative,1929,277022
Negative,1929,277110
Negative,1929,277112
Negative,1929,277260
Negative,1929,277394
Negative,1929,277444
Negative,1929,277659
Negative,1929,278423
Negative,1929,278528
Negative,1929,278985
Negative,1929,279136
Negative,1929,279167
Negative,1929,282090
Photograph,1929,282845
Photograph,1929,282847
Photograph,1929,283317
Manuscript materials,1929,283729
Negative,1929,285562
Negative,1929,285565
Negative,1929,285597
Negative,1929,285602
Photograph,1929,286252
Photograph,1929,260636
Negative,1929,273961
Negative,1929,274595
Negative,1929,274610
Negative,1929,274652
Negative,1929,274653
Negative,1929,274688
Negative,1929,274698
Negative,1929,274699
Negative,1929,274706
Negative,1929,274710
Negative,1929,274726
Glass negative,1929,274802
Glass negative,1929,274820
Glass negative,1929,274862
Glass negative,1929,274866
Negative,1929,272239
Negative,1929,272626
Negative,1929,274051
Negative,1929,274056
Negative,1929,274090
Negative,1929,274091
Negative,1929,274093
Negative,1929,274094
Negative,1929,274095
Negative,1929,274096
Negative,1929,274317
Negative,1929,274318
Negative,1929,274319
Negative,1929,274333
Negative,1929,274334
Negative,1929,274335
Negative,1929,274337
Negative,1929,274477
Negative,1929,274691
Negative,1929,274692
Glass negative,1929,274860
Glass negative,1929,274877
Negative,1929,275190
Negative,1929,275450
Negative,1929,275451
Negative,1929,275452
Negative,1929,277174
Negative,1929,277198
Negative,1929,277221
Negative,1929,277247
Negative,1929,277262
Negative,1929,277275
Negative,1929,277314
Negative,1929,277357
Negative,1929,277529
Negative,1929,282567
Photograph,1929,282841
Photograph,1929,282856
Photograph,1929,282857
Photograph,1929,282858
Photograph,1929,282859
Negative,1929,274544
Negative,1929,274575
Negative,1929,274642
Negative,1929,274651
Glass negative,1929,274784
Negative,1929,274796
Negative,1929,274840
Glass negative,1929,274843
Negative,1929,274852
Negative,1929,275137
Negative,1929,275138
Negative,1929,275140
Negative,1929,275141
Negative,1929,275142
Negative,1929,275143
Negative,1929,275166
Negative,1929,275168
Negative,1929,275177
Negative,1929,275178
Negative,1929,275476
Negative,1929,275477
Negative,1929,275478
Negative,1929,275479
Negative,1929,275480
Negative,1929,275482
Negative,1929,276881
Negative,1929,276883
Negative,1929,276885
Negative,1929,276887
Negative,1929,276889
Negative,1929,276891
Negative,1929,276893
Negative,1929,276895
Negative,1929,276897
Negative,1929,276899
Negative,1929,276915
Negative,1929,276917
Negative,1929,276919
Negative,1929,276921
Negative,1929,276926
Negative,1929,276928
Negative,1929,276984
Negative,1929,276986
Negative,1929,276988
Negative,1929,276993
Negative,1929,277108
Negative,1929,277140
Negative,1929,277143
Negative,1929,277146
Negative,1929,277148
Negative,1929,277150
Negative,1929,277154
Negative,1929,277156
Negative,1929,282568
