Acquired,Department,Created
Inst.68.8.54,American Decorative Arts,1820
"Inst.68.8.31a, b",American Decorative Arts,1820
"Inst.68.8.32a, b",American Decorative Arts,1820
"Inst.68.8.33a, b",American Decorative Arts,1820
"35.46a, b",American Decorative Arts,1780
34.100.222,American Decorative Arts,1800
17.201,American Decorative Arts,1800
30.120.276,American Decorative Arts,1800
30.120.275,American Decorative Arts,1800
17.116.2,American Decorative Arts,1792
1973.211.1,American Decorative Arts,1896
1973.211.2,American Decorative Arts,1899
1973.211.3,American Decorative Arts,1899
1973.211.4,American Decorative Arts,1899
1972.50.5,American Decorative Arts,1893
1972.50.6,American Decorative Arts,1893
1984.98,American Decorative Arts,1891
1971.180.106,American Decorative Arts,1800
1971.180.107,American Decorative Arts,1800
1971.180.108,American Decorative Arts,1800
1971.180.36,American Decorative Arts,1813
30.120.15,American Decorative Arts,1822
37.37.3,American Decorative Arts,1815
30.120.308,American Decorative Arts,1833
11.87.85,American Decorative Arts,1875
48.91,American Decorative Arts,1795
17.203.28,American Decorative Arts,1807
Inst.68.8.82,American Decorative Arts,1820
Inst.68.8.83,American Decorative Arts,1820
40.150.13,American Decorative Arts,1840
13.7.10,American Decorative Arts,1700
13.7.11,American Decorative Arts,1700
10.125.599z (22),American Decorative Arts,1700
11.87.23,American Decorative Arts,1797
34.100.224,American Decorative Arts,1860
38.87.2,American Decorative Arts,1825
43.162.44,American Decorative Arts,1760
62.89.13,American Decorative Arts,1719
41.34.40,American Decorative Arts,1821
43.162.24,American Decorative Arts,1819
1983.206.8,American Decorative Arts,1892
39.185.11,American Decorative Arts,1794
39.185.9,American Decorative Arts,1817
39.185.10,American Decorative Arts,1770
41.34.39,American Decorative Arts,1800
43.162.43,American Decorative Arts,1770
41.34.41,American Decorative Arts,1803
18.95.5,American Decorative Arts,1849
1973.343.1,American Decorative Arts,1846
43.162.37,American Decorative Arts,1756
18.82.1,American Decorative Arts,1846
14.102.132,American Decorative Arts,1813
1982.91.1,American Decorative Arts,1857
40.184.2,American Decorative Arts,1712
17.64.3,American Decorative Arts,1815
17.64.4,American Decorative Arts,1815
10.125.342,American Decorative Arts,1810
11.60.155,American Decorative Arts,1810
46.140.668,American Decorative Arts,1880
51.171.93,American Decorative Arts,1830
66.165.1,American Decorative Arts,1800
66.165.2,American Decorative Arts,1800
1984.444.1,American Decorative Arts,1800
1985.40.15,American Decorative Arts,1800
46.140.363,American Decorative Arts,1880
54.167,American Decorative Arts,1770
46.140.666,American Decorative Arts,1880
46.140.667,American Decorative Arts,1880
37.96.1,American Decorative Arts,1670
37.96.2,American Decorative Arts,1670
20.109.14,American Decorative Arts,1800
14.11.25,American Decorative Arts,1830
14.75.1,American Decorative Arts,1775
14.75.2,American Decorative Arts,1775
52.77.21,American Decorative Arts,1762
52.77.22,American Decorative Arts,1760
33.120.102,American Decorative Arts,1797
33.120.103,American Decorative Arts,1830
33.120.104,American Decorative Arts,1730
33.120.621,American Decorative Arts,1680
40.184.18,American Decorative Arts,1810
40.184.19,American Decorative Arts,1810
41.34.25,American Decorative Arts,1822
43.162.6,American Decorative Arts,1822
33.120.105,American Decorative Arts,1770
67.94,American Decorative Arts,1789
41.34.28,American Decorative Arts,1795
33.120.107,American Decorative Arts,1770
33.120.108,American Decorative Arts,1773
33.120.109,American Decorative Arts,1765
33.120.110,American Decorative Arts,1825
33.120.111,American Decorative Arts,1832
41.34.26,American Decorative Arts,1807
41.34.27,American Decorative Arts,1801
33.120.112,American Decorative Arts,1720
2014.53,American Decorative Arts,1667
33.120.113,American Decorative Arts,1800
33.120.114,American Decorative Arts,1831
33.120.115,American Decorative Arts,1772
33.120.116,American Decorative Arts,1777
33.120.117,American Decorative Arts,1797
33.120.118,American Decorative Arts,1800
33.120.119,American Decorative Arts,1727
33.120.120,American Decorative Arts,1711
33.120.121,American Decorative Arts,1814
40.184.20,American Decorative Arts,1829
40.184.21,American Decorative Arts,1829
33.120.106,American Decorative Arts,1680
33.120.122,American Decorative Arts,1827
33.120.622,American Decorative Arts,1711
52.77.3,American Decorative Arts,1760
52.77.4,American Decorative Arts,1760
13.197.2,American Decorative Arts,1765
13.197.3,American Decorative Arts,1765
28.131.1,American Decorative Arts,1716
28.131.2,American Decorative Arts,1716
01.3.4,American Decorative Arts,1770
01.3.5,American Decorative Arts,1770
58.3.1,American Decorative Arts,1795
58.3.2,American Decorative Arts,1795
58.3.3,American Decorative Arts,1795
58.3.4,American Decorative Arts,1795
1980.501.1,American Decorative Arts,1770
1980.501.2,American Decorative Arts,1770
1980.501.3,American Decorative Arts,1770
1971.180.109,American Decorative Arts,1800
1971.180.110,American Decorative Arts,1800
14.11.7,American Decorative Arts,1849
1980.357,American Decorative Arts,1850
10.125.335,American Decorative Arts,1740
10.125.336,American Decorative Arts,1760
"46.194.6a, b",American Decorative Arts,1760
49.91a–c,American Decorative Arts,1760
53.14,American Decorative Arts,1810
53.179.4,American Decorative Arts,1760
1981.226,American Decorative Arts,1830
69.146.1,American Decorative Arts,1877
18.110.64,American Decorative Arts,1810
68.97.13,American Decorative Arts,1877
1986.47.1,American Decorative Arts,1881
30.120.298,American Decorative Arts,1800
31.21.2,American Decorative Arts,1800
Inst.1983.2,American Decorative Arts,1850
10.125.591,American Decorative Arts,1700
25.154,American Decorative Arts,1850
46.140.738,American Decorative Arts,1880
1971.180.66,American Decorative Arts,1800
10.125.19,American Decorative Arts,1697
34.100.20,American Decorative Arts,1740
34.100.29,American Decorative Arts,1797
66.10.2,American Decorative Arts,1825
66.10.4,American Decorative Arts,1847
69.108,American Decorative Arts,1862
65.231,American Decorative Arts,1916
69.158.1,American Decorative Arts,1877
1979.190,American Decorative Arts,1850
83.2.258,American Decorative Arts,1835
83.2.221,American Decorative Arts,1800
83.2.215,American Decorative Arts,1776
83.2.216,American Decorative Arts,1776
83.2.219,American Decorative Arts,1776
83.2.220,American Decorative Arts,1776
83.2.232,American Decorative Arts,1776
83.2.235,American Decorative Arts,1776
83.2.238,American Decorative Arts,1776
83.2.239,American Decorative Arts,1776
83.2.250,American Decorative Arts,1776
83.2.252,American Decorative Arts,1876
83.2.190,American Decorative Arts,1815
83.2.192,American Decorative Arts,1851
83.2.172,American Decorative Arts,1800
83.2.199,American Decorative Arts,1776
83.2.283,American Decorative Arts,1776
83.2.234,American Decorative Arts,1776
83.2.236,American Decorative Arts,1776
83.2.233,American Decorative Arts,1776
83.2.222,American Decorative Arts,1776
83.2.248,American Decorative Arts,1776
83.2.217,American Decorative Arts,1800
83.2.160,American Decorative Arts,1776
83.2.170,American Decorative Arts,1778
83.2.175,American Decorative Arts,1777
83.2.178,American Decorative Arts,1776
02.9,American Decorative Arts,1794
83.2.213,American Decorative Arts,1800
83.2.214,American Decorative Arts,1776
83.2.218,American Decorative Arts,1776
47.137.8,American Decorative Arts,1777
83.2.201,American Decorative Arts,1776
83.2.225,American Decorative Arts,1800
83.2.240,American Decorative Arts,1800
83.2.251,American Decorative Arts,1800
50.187.72,American Decorative Arts,1772
83.2.188,American Decorative Arts,1800
1984.448.2,American Decorative Arts,1870
67.7.14,American Decorative Arts,1864
68.130.9,American Decorative Arts,1800
10.125.638,American Decorative Arts,1600
34.100.191,American Decorative Arts,1725
34.100.192,American Decorative Arts,1725
1978.302.159,American Decorative Arts,1700
1978.302.160,American Decorative Arts,1700
Inst.1986.1,American Decorative Arts,1847
54.186,American Decorative Arts,1674
35.62,American Decorative Arts,1792
24.209,American Decorative Arts,1744
58.51,American Decorative Arts,1716
62.233.7,American Decorative Arts,1907
1985.24,American Decorative Arts,1820
14.36.4,American Decorative Arts,1800
47.90.130,American Decorative Arts,1852
1987.401,American Decorative Arts,1868
34.100.61,American Decorative Arts,1780
34.100.62,American Decorative Arts,1789
34.100.64,American Decorative Arts,1795
34.100.67,American Decorative Arts,1787
34.100.69,American Decorative Arts,1810
34.100.70,American Decorative Arts,1822
34.100.221,American Decorative Arts,1784
